[Territories.Name].Zona1;Northern Bunker
[Territories.Name].Zona2;Northwestern Plains
[Territories.Name].Zona3;Northeastern Plains
[Territories.Name].Zona4;Northern Farmstead
[Territories.Name].Zona5;Northwestern Hills
[Territories.Name].Zona6;Northeastern Hills
[Territories.Name].Zona7;Northwestern Swamp
[Territories.Name].Zona8;Northeastern Swamp
[Territories.Name].Zona9;Northwestern Buildings
[Territories.Name].Zona10;Northeastern Buildings
[Territories.Name].Zona11;Western Swamp
[Territories.Name].Zona12;Forgotten City
[Territories.Name].Zona13;Eastern Swamp
[Territories.Name].Zona14;Western Buildings
[Territories.Name].Zona15;Eastern Buildings
[Territories.Name].Zona16;Western Hills
[Territories.Name].Zona17;Eastern Hills
[Territories.Name].Zona18;Eastern Farmstead
[Territories.Name].Zona19;Southwestern Buildings
[Territories.Name].Zona20;Southwestern Farmstead
[Territories.Name].Zona21;Southeastern Buildings
[Territories.Name].Zona22;Eastern Plain
[Territories.Name].Zona24;Southeastern Plains
[Territories.Name].Zona25;Southwestern Plains
[Territories.Name].Zona26;Eastern Bunker
[Territories.Name].Zona23;Western Plains
[Territories.Name].Zona28;Western Bunker
[Territories.Name].Zona27;Southwestern Hills
[Territories.Name].Zona29;Southeastern Swamp
[Territories.Name].Zona30;Southwestern Swamp
[Territories.Name].Zona31;Southeastern Hills
