[Territories.Name].Zona1;Северный блокпост
[Territories.Name].Zona2;Северные камни
[Territories.Name].Zona3;Перевёрнутый грузовик
[Territories.Name].Zona4;Северная посадка
[Territories.Name].Zona5;Северо-восточные холмы
[Territories.Name].Zona6;Брошенный хутор
[Territories.Name].Zona7;Брошенная ферма
[Territories.Name].Zona8;Восточный тоннель
[Territories.Name].Zona9;Северные холмы у моста
[Territories.Name].Zona10;Западная глушь
[Territories.Name].Zona11;Брошенный поезд
[Territories.Name].Zona12;Разрушенный мост
[Territories.Name].Zona13;Восточные холмы
[Territories.Name].Zona14;Юго-восточные холмы
[Territories.Name].Zona15;Малый лес
[Territories.Name].Zona16;АТП
[Territories.Name].Zona17;Деревня новичков
[Territories.Name].Zona18;Южные камни
[Territories.Name].Zona19;Скрытый лагерь
[Territories.Name].Zona20;Южный блокпост
[Territories.Name].Zona21;Остановка
[Territories.Name].Zona22;АТП
[Territories.Name].Zona23;Юго-восточный тоннель
[Territories.Name].Zona24;Малая свалка
[Territories.Name].Zona25;Вагончик с мостом
[Territories.Name].Zona26;Холмы возле АТП
[Territories.Name].Zona27;Деревня новичков
[Territories.Name].Zona28;Брошенный лагерь
[Territories.Name].Zona29;Южные камни
[Territories.Name].Zona30;Юго-западные холмы
[Territories.Name].Zona31;Заброшенный тоннель
[Territories.Name].Zona32;Скрытый лагерь
[Territories.Name].Zona33;Тайная перевалочная
[Territories.Name].Zona34;Южный блокпост
