[Territories.Name].Zona1;Северный бункер
[Territories.Name].Zona61;Южный бункер
[Territories.Name].Zona60;Южный укреп
[Territories.Name].Zona59;Юго-восточные равнины
[Territories.Name].Zona58;Юго-восточный хутор
[Territories.Name].Zona57;Юго-западный блокпост
[Territories.Name].Zona56;Южный лес
[Territories.Name].Zona55;Юго-западный хутор
[Territories.Name].Zona54;Юго-восточный блокпост
[Territories.Name].Zona53;Юго-восточные нижние холмы
[Territories.Name].Zona52;Юго-западные нижние холмы
[Territories.Name].Zona51;Юго-западные равнины
[Territories.Name].Zona50;Юго-восточный укреп
[Territories.Name].Zona49;Юго-восточный бункер
[Territories.Name].Zona48;Юго-западный бункер
[Territories.Name].Zona47;Юго-западные верхние холмы
[Territories.Name].Zona46;Юго-восточные верхние холмы
[Territories.Name].Zona45;Южное болоо
[Territories.Name].Zona44;Юго-восточный лес
[Territories.Name].Zona43;Юго-заданый лес
[Territories.Name].Zona42;Восточные равнины
[Territories.Name].Zona16;Северо-западный бункер
[Territories.Name].Zona17;Северо-восточный бункер
[Territories.Name].Zona2;Северо-западные равнины
[Territories.Name].Zona11;Северо-восточные равнины
[Territories.Name].Zona22;Западные равнины
[Territories.Name].Zona30;Руины посёлка
[Territories.Name].Zona24;Северо-западный мост
[Territories.Name].Zona25;Северо-восточный мост
[Territories.Name].Zona31;Западный мост
[Territories.Name].Zona32;Восточный мост
[Territories.Name].Zona39;Юго-западный мост
[Territories.Name].Zona40;Юго-восточный мост
[Territories.Name].Zona15;Северное болото
[Territories.Name].Zona20;Северо-западное болото
[Territories.Name].Zona21;Северо-восточное болото
[Territories.Name].Zona37;Юго-западное болото
[Territories.Name].Zona33;Юго-восточное болото
[Territories.Name].Zona6;Северный лес
[Territories.Name].Zona18;Северо-западный лес
[Territories.Name].Zona19;Северо-восточный лес
[Territories.Name].Zona9;Северо-восточные верхние холмы
[Territories.Name].Zona10;Северо-западные верхние холмы
[Territories.Name].Zona13;Северо-западные нижние холмы
[Territories.Name].Zona14;Северо-западные нижние холмы
[Territories.Name].Zona26;Восточные верхние холмы
[Territories.Name].Zona27;Западные верхние холмы
[Territories.Name].Zona34;Восточные нижние холмы
[Territories.Name].Zona36;Западные нижние холмы
[Territories.Name].Zona3;Северный укреп
[Territories.Name].Zona23;Восточный укреп
[Territories.Name].Zona41;Западный укреп
[Territories.Name].Zona12;Северо-западный укреп
[Territories.Name].Zona4;Северо-восточный хутор
[Territories.Name].Zona7;Северо-западный хутор
[Territories.Name].Zona38;Восточный хутор
[Territories.Name].Zona28;Западный хутор
[Territories.Name].Zona8;Северо-западный блокпост
[Territories.Name].Zona5;Северо-восточный блокпост
[Territories.Name].Zona35;Западный блокпост
[Territories.Name].Zona29;Восточный блокпост
