[Common_Strings].StoryEventsLevelText;Training events:
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Shustriy].Name;Nimble
[Advisors.Advisor-Stalkers-Fanat].Name;Fanatic
[Advisors.Advisor-Stalkers-Bes].Name;Bes
[Advisors.Advisor-Stalkers-Urik].Name;Yurik
[Advisors.Advisor-Stalkers-Seriy].Name;Seriy
[Advisors.Advisor-Stalkers-Demon].Name;"Oleg ""Fiend"" Gusarov"
[Advisors.Advisor-Stalkers-Upir].Name;Vampire
[Advisors.Advisor-Stalkers-Arni].Name;Arnie
[Advisors.Advisor-Stalkers-Krot].Name;Mole
[Advisors.Advisor-Stalkers-Lis].Name;Fox
[Advisors.Advisor-Stalkers-Diodor].Name;Father Diodor
[Advisors.Advisor-Stalkers-Chuchelo].Name;Scarecrow
[Advisors.Advisor-Stalkers-Provodnik].Name;Guide
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Bandits-Kaban].Name;Vasya Boar
[Advisors.Advisor-Bandits-Fraer].Name;Friar
[Advisors.Advisor-Bandits-Kocherga].Name;Poker
[Advisors.Advisor-Bandits-Babtist].Name;Baptist
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Soldiers-Kuznecov].Name;Major Kuznetsov
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Chuguykin].Name;Lieutenant Chuguykin
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Zombie-Kontroler].Name;Controller
[Achievements.Achiv-1].Name;Master of training!
[Achievements.Achiv-1].Desc;Achievement unlocked! Complete a scenario on Master difficulty.
[Achievements.Achiv-1].Desc-Logo;Complete the scenario on Master difficulty.
[Achievements.Achiv-2].Name;New direction!
[Achievements.Achiv-2].Desc;"Achievement unlocked! Change your ideology to ""Fight the Zone"" for the Stalkers faction on any difficulty level."
[Achievements.Achiv-2].Desc-Logo;"Change your ideology to ""Fight the Zone"" for the Stalkers faction on any difficulty level."
[Traders.World].Name;The outside world
[Traders.World].NeedText;Establishing contact with the outside world isn't always possible. 50% chance. Cost per attempt:
[Traders.YourGroup].Name;Trader of your faction
[Traders.YourGroup].NeedText;You can always trade with your merchant. Price:
[Traders.OtherGroup].Name;Trader of another faction
[Traders.OtherGroup].NeedText;To trade with other factions, first select the other's territory on the map.
[Traders.Trader1].Name;Sidorovich
[Traders.Trader1].NeedText;You can trade with him if you control the Village on the Cordon territory. Price:
[Tutorial.Page-1].Text;Greetings, stalker! This is the eighth (and final) part of the tutorial. In it, I'll introduce you to the faction's deputy leaders, ideologies, and internal rules. To go to the next page, click the green arrows below (you can also use the arrow keys on your keyboard).
[Tutorial.Page-2].Text;"Deputies, ideologies, and rules are closely intertwined. You don't need to delve into this to win on the easy difficulty level in most single-player scenarios. But when playing on Master or in multiplayer, it's essential, as this theme allows you to collect a ton of bonuses and also use ""automatic artifact collection."" And auto-collection is a very convenient feature. You check a box, and your soldiers automatically search for artifacts and replenish their inventory with them."
[Tutorial.Page-3].Text;"I suggest starting with the faction leader's deputies. You're the leader, but you often need an assistant. This assistant can have both advantages and disadvantages. Choose wisely. You can view a list of all available deputies for the current turn by clicking the ""Deputies"" button in the ""Additional Information"" window, which can be opened by clicking the ""Additional"" button at the top of the screen (Mark #1)."
[Tutorial.Page-4].Text;More about the bonuses. They can influence many aspects of the faction. For example, they can assist in reconnaissance or counterrecon, reduce the cost of changing the location of the faction's main base, and so on. But among the various bonuses, there are parameters linked to ideology. One of them indicates the character's ideology, and the second indicates the percentage of the turn by which they will try to increase it in the faction if appointed as a deputy. You can view your faction's current ideology by clicking on any of your territories on the map and hovering the cursor over the image to the right of your faction's logo (Mark #1). All information about your ideology will be there: name, bonuses, and its impact on the faction's internal rules.
[Tutorial.Page-5].Text;And in the same window, when you hover over the portrait of the group leader (it?s under the group logo), you can find out what ideology the leader of the faction preaches and what bonuses he gives to his leadership (Mark No. 1).
[Tutorial.Page-6].Text;"A deputy's ideology may differ from the leader's. Here, it's important to consider who is the stronger advocate. Usually, it's the deputy. If such a deputy is appointed, after a certain number of turns, the influence of their ideology will become significant, and internal conflicts may arise within the faction. More precisely, when the current faction ideology drops below 50%, soldiers will begin to leave. At first, the number of defections will be small, but then, as the current ideology percentage drops even lower, they will begin to leave in large numbers! Therefore, it's crucial to monitor the ideology percentage in the corresponding window when appointing a deputy with an ideology different from the current one. To do this, simply click the ""Ideologies"" button (Mark #1) in the same additional information window. It's also possible that a deputy is appointed with an ideology that isn't listed in this window. This is not a problem. If you click ""End Turn,"" the deputy's ideology will appear in the ideology window on the next turn. This means that no one previously adhered to it."
[Tutorial.Page-7].Text;The window with the current ideology percentage has a button that allows you to change it, but the price in CR can be quite large. There are two ways to reduce the price. The first is to purchase upgrades (Mark #1), which reduce the price in CR. The second is to simply wait a few more turns, during which time the appointed deputy with the desired ideology will increase the percentage of people who adhere to their ideology. The ideal approach is to use both methods simultaneously.
[Tutorial.Page-8].Text;"You might be wondering, ""Why change your ideology at all?"" Let me answer... Changing your ideology not only changes your faction logo, but also changes the inventory of your faction's merchant, influences the ending of most scenarios, and changes the list of available faction management rules. This may seem insignificant at first, but it can actually have a significant impact at crucial moments in the game. For example, for the Military faction, you can enable automatic artifact search rules this way, significantly reducing the cost of CR spent on artifact searches. This is extremely useful when there are many territories and few CRs available for searches."
[Tutorial.Page-9].Text;"Now I'll tell you about the faction's internal rules. I've mentioned them several times before. To access the rules window, simply click the ""Rules"" button in the additional information window (Label #1)."
[Tutorial.Page-10].Text;Each ideology has its own set of rules in the first row. The rule selected here influences which column of rules (below it) will be available. For example, if the third rule in the first row is selected, the entire third column of rules will become available for selection. The rows divide the rules into themes. The first is the control method, the second is the attitude toward artifact search, the third is reconnaissance, and the fourth is combat. To enable the recon network rule (row 3, column 5), which provides significant recon bonuses (but will reduce counterintelligence performance), you must enable rule #5 in the first row. And to enable simple automatic artifact search (row 2, column 2), you must switch to rule #2 in the first row. The recon network will then be marked with a yellow checkmark. This means the rule still works, but it's unavailable for re-selection because rule #2 is selected in the first line, not #5. So, after you've selected everything you need in the lower lines of rules, you can change the value in the first line to whatever you want, and everything will work. But, again, the list of rules available in the first line depends on the faction's ideology. By the way, no one stops you from changing your ideology and rules several times to collect all the best rules and their bonuses, and then returning to your original ideology. This way, you can collect all the best bonuses!
[Tutorial.Page-11].Text;"In this scenario, you can try switching your current ideology to ""Fight the Zone."" To do this, appoint a deputy with this ideology. Next, purchase upgrades to reduce the cost of switching your ideology and wait for the appropriate cost to change your ideology by skipping a turn. To successfully complete the tutorial, capture all territories owned by Bandits and Military in this location. Don't worry, as this is a tutorial, the enemy is significantly weakened and won't put up much of a fight, and you'll be able to master all the material covered in all parts of the tutorial! Once you've captured what you need and confirmed your progress by clicking ""End Turn,"" the tutorial will conclude with your victory."
[StoryEvents.Event-EveryStep-CheckVictory1].Name;Technical event
[StoryEvents.Event-EveryStep-CheckVictory1].Desc-Owner;Technical event to change the winning event flag
[StoryEvents.Event-EveryStep-CheckVictory1].Desc-NonOwner;Technical event to change the winning event flag
[StoryEvents.Event-EveryStep-CheckVictory2].Name;Technical event
[StoryEvents.Event-EveryStep-CheckVictory2].Desc-Owner;Technical event to change the winning event flag
[StoryEvents.Event-EveryStep-CheckVictory2].Desc-NonOwner;Technical event to change the winning event flag
[StoryEvents.Event-EveryStep-CheckVictory3].Name;Technical event
[StoryEvents.Event-EveryStep-CheckVictory3].Desc-Owner;Technical event to change the winning event flag
